"id","first_name","last_name","phone","date_of_birth","age","years_exp","rank","image_id"
1,"Alexander","Marks","+1-493-262-9094x205","1978-10-21",0,17,"Helper Cook",1
2,"Jessica","Garcia","904-977-9775x507","1987-05-16",0,19,"B Cook",1
3,"Michael","Hall","336-596-0562","1971-11-04",0,29,"Chef",1
4,"Colleen","Faulkner","+1-601-532-4090x784","1986-08-30",0,16,"A Cook",1
5,"Francis","Mitchell","369-473-1881","1989-11-04",0,27,"C Cook",1
6,"Laura","Cooper","411.498.4108","1974-05-26",0,43,"C Cook",1
7,"Jeffrey","Rojas","449.815.5576x5363","1992-07-15",0,20,"B Cook",1
8,"Jesus","Lopez","640.532.4737","2002-04-20",0,21,"C Cook",1
9,"Jessica","Myers","8149868134","1987-02-24",0,18,"A Cook",1
10,"Hannah","Castillo","001-502-346-4109x3601","1982-06-01",0,15,"C Cook",1
11,"Jeremy","Willis","994.924.6005x3430","1997-11-25",0,16,"C Cook",1
12,"Justin","Gray","452-812-3060x7446","1998-04-20",0,25,"Helper Cook",1
13,"Ricardo","Richardson","742-550-3850x14513","1979-04-22",0,41,"C Cook",1
14,"Kimberly","Robertson","001-408-300-7639","1992-06-15",0,14,"B Cook",1
15,"Victor","Miller","964.479.3597","1992-01-09",0,15,"Helper Cook",1
16,"Evan","Webb","450.646.6835x662","1986-02-11",0,27,"Chef",1
17,"Julie","Fuller","001-832-317-2282x9862","1978-01-19",0,43,"Helper Cook",1
18,"Anne","Mitchell","243-240-4189","1970-03-07",0,27,"Chef",1
19,"Jody","Ramsey","+1-431-764-9825","1980-07-12",0,25,"Helper Cook",1
20,"Danielle","Watkins","870.732.5774x481","1999-03-18",0,13,"B Cook",1
21,"Karen","Murray","+1-285-923-4646x9147","1979-01-25",0,28,"C Cook",1
22,"Derrick","Roberts","526.620.1880","2001-11-28",0,7,"C Cook",1
23,"Anna","Moore","226.567.2915x61697","1997-10-15",0,21,"B Cook",1
24,"Sara","White","296-830-9894","1990-01-09",0,9,"Helper Cook",1
25,"Leslie","Potter","656-327-8438x651","1985-09-23",0,9,"Helper Cook",1
26,"Steven","Rivers","(360)679-1509x85337","1985-01-31",0,25,"Helper Cook",1
27,"Johnny","Ball","266-798-0922","1978-01-09",0,8,"A Cook",1
28,"Rodney","Edwards","001-783-228-6651","1971-12-25",0,36,"A Cook",1
29,"Barbara","Barker","001-205-847-2382x78374","2002-04-03",0,10,"A Cook",1
30,"Ryan","White","675.793.1298x319","1983-09-21",0,16,"Chef",1
31,"Russell","Rodgers","593.584.2853","1996-06-18",0,20,"Helper Cook",1
32,"Kelly","Perez","369-601-5938","1982-08-23",0,14,"Chef",1
33,"Ryan","Brewer","766-753-4646x720","1994-03-22",0,30,"C Cook",1
34,"Katelyn","Espinoza","332.633.8457x92402","1990-08-22",0,15,"A Cook",1
35,"Jennifer","Jackson","+1-360-480-4789x7164","2000-07-19",0,13,"Chef",1
36,"Jeff","Jones","001-672-489-8230x285","1992-09-25",0,20,"Chef",1
37,"Julie","Cook","001-663-377-3964x928","2000-04-12",0,18,"B Cook",1
38,"Sandy","Hicks","001-371-981-5114x616","1970-04-10",0,48,"A Cook",1
39,"Larry","Bailey","(541)753-2064","1988-03-19",0,12,"B Cook",1
40,"Shane","Lopez","220.283.2297x31935","1983-08-08",0,28,"C Cook",1
41,"Katherine","Dominguez","669.480.4151","1981-07-18",0,32,"A Cook",1
42,"Sara","Williams","+1-980-368-7782x265","1973-01-18",0,44,"C Cook",1
43,"Kevin","Moore","001-464-307-9758","2000-11-10",0,14,"A Cook",1
44,"Norman","Hicks","659.531.7517","1994-08-07",0,24,"Chef",1
45,"Jennifer","Thompson","711.297.6742x1456","1970-10-30",0,43,"Helper Cook",1
46,"Anthony","Cardenas","498.734.5507x9915","1997-05-21",0,12,"A Cook",1
47,"Kim","Cross","646.506.5548","1994-10-27",0,14,"Chef",1
48,"Deborah","Ramirez","203.434.6892x9666","1982-07-05",0,8,"Helper Cook",1
49,"Andrew","Roth","338-438-5418","1985-01-19",0,28,"Chef",1
50,"Veronica","Murphy","4635127661","1995-03-03",0,25,"Helper Cook",1
51,"Yvonne","Patterson","896.919.1569x27457","1986-12-15",0,27,"C Cook",1
52,"Scott","Walsh","964-557-4644x6289","1972-03-06",0,51,"Chef",1
53,"Judith","Perez","(217)590-9027","2000-10-17",0,14,"A Cook",1
54,"Dale","Valdez","288-299-8326x5381","1971-10-06",0,24,"Helper Cook",1
55,"Pamela","Bell","837-610-6809x696","1983-08-07",0,22,"Chef",1
56,"Tiffany","Parker","765.353.9594x82157","2002-07-28",0,20,"Chef",1
57,"Regina","Norris","001-548-776-2873x1900","2001-07-01",0,22,"C Cook",1
58,"Brian","Reed","469-368-9444x34517","1980-02-14",0,21,"C Cook",1
59,"William","Ryan","800-769-5288x5039","1990-11-18",0,20,"Chef",1
60,"Andrew","Pineda","376.382.8297","1997-04-12",0,22,"Helper Cook",1
61,"Cody","Zhang","898.874.8130","1999-12-18",0,8,"C Cook",1
62,"Meredith","Winters","980-349-2816","1988-01-11",0,24,"Chef",1
63,"Joseph","West","001-636-212-7483x777","2001-06-28",0,20,"B Cook",1
64,"Sheila","Johnson","4847959446","1975-10-25",0,23,"A Cook",1
65,"Paula","Smith","(959)859-5842x82655","2000-09-13",0,11,"Helper Cook",1
66,"Douglas","Bailey","(527)276-3313x1644","1993-06-01",0,30,"Chef",1
67,"John","Fisher","001-380-215-3072x0397","1994-05-26",0,12,"Helper Cook",1
68,"Elizabeth","Pace","649-975-3476","1992-03-14",0,28,"A Cook",1
69,"Douglas","Thomas","5455702043","1977-04-16",0,27,"B Cook",1
70,"Miranda","Robinson","250.932.4334","1980-07-31",0,42,"Chef",1
71,"Janet","Fitzpatrick","8083212941","1971-10-07",0,21,"B Cook",1
72,"Richard","Oneal","400-904-6920x7897","1970-06-25",0,44,"Chef",1
73,"Jackie","Farrell","300.741.2326x5889","1992-07-27",0,9,"C Cook",1
74,"Kim","Mcintosh","001-304-610-6638x99506","2003-05-07",0,7,"B Cook",1
75,"Christopher","Whitaker","3963231528","2002-05-13",0,10,"C Cook",1
76,"Eric","Welch","686.933.6473","1999-07-19",0,12,"Chef",1
77,"Crystal","Sanchez","+1-561-311-3370x155","1971-10-16",0,34,"Chef",1
78,"Chris","Mccoy","772-343-8271","1977-06-29",0,9,"B Cook",1
79,"Philip","Torres","+1-704-802-0127x58868","1982-01-15",0,42,"B Cook",1
80,"Mark","Coleman","001-345-883-3764x01139","1976-02-12",0,11,"B Cook",1
81,"Darren","Larsen","001-551-700-2972x960","1992-11-10",0,22,"Chef",1
82,"Steven","Jackson","383.503.1134","2001-05-11",0,23,"Helper Cook",1
83,"Diana","Warren","261-407-6933x440","1981-07-03",0,29,"Chef",1
84,"Anthony","Foley","(418)758-0444","1985-12-22",0,26,"B Cook",1
85,"Chad","Gonzalez","(400)985-1758x0853","1984-03-29",0,37,"B Cook",1
86,"Briana","Hawkins","001-398-558-7095x3240","1975-12-18",0,22,"A Cook",1
87,"Vanessa","Williamson","6146436265","1971-02-01",0,25,"C Cook",1
88,"Sergio","Mason","001-967-977-5959x0981","1991-09-06",0,14,"Chef",1
89,"Katherine","Schmitt","496-932-2097","2000-06-13",0,8,"Chef",1
90,"Nancy","Solis","403-789-5992x127","1982-06-29",0,25,"C Cook",1
91,"Patricia","Clark","370-801-2203x64838","1982-01-13",0,15,"Helper Cook",1
92,"Michael","Morgan","711.340.1133","1970-11-17",0,38,"A Cook",1
93,"Jack","Ray","001-960-481-1769x4531","1970-09-10",0,18,"A Cook",1
94,"Ashley","Olson","(510)512-6778x67662","1975-05-20",0,28,"C Cook",1
95,"Joshua","Walker","833.746.7456x47134","1979-06-30",0,43,"B Cook",1
96,"Lawrence","Jones","001-444-814-1608x956","1980-12-30",0,37,"C Cook",1
97,"David","Herrera","+1-991-764-0458x8495","1994-09-30",0,7,"Helper Cook",1
98,"Dean","Watts","+1-239-395-5935x69847","1981-07-11",0,28,"A Cook",1
99,"Patricia","Anderson","218.227.3335","1989-04-05",0,23,"B Cook",1
100,"Diane","Johnson","001-550-595-0712","1988-05-16",0,13,"Helper Cook",1
