"id","first_name","last_name","phone","date_of_birth","age","years_exp","crank","image_id"
1,"Amy","Smith","223.744.6168x5771","1974-12-20",0,22,"Chef",9001
2,"Brett","Leon","915.662.5973x74306","1988-11-24",0,22,"C Cook",9002
3,"Deanna","Wilson","001-272-437-2055x12122","1983-01-09",0,15,"A Cook",9003
4,"Alan","Pittman","(331)590-4604","1997-06-08",0,24,"C Cook",9004
5,"Beverly","Garcia","865-695-5003x14916","1986-10-01",0,4,"Helper Cook",9005
6,"Keith","Hernandez","001-347-713-5730x80353","1976-06-11",0,39,"B Cook",9006
7,"Mallory","Cooper","765-961-7196x3838","1995-05-22",0,15,"A Cook",9007
8,"Debra","Davis","478-751-8862x90897","1983-11-12",0,36,"B Cook",9008
9,"Lisa","Hayes","2877305854","1994-01-30",0,6,"A Cook",9009
10,"Lynn","Erickson","+1-786-558-9131x691","1991-02-25",0,23,"C Cook",9010
11,"James","Christensen","001-669-615-3622","1975-05-20",0,48,"B Cook",9011
12,"Anthony","Barton","+1-849-759-1312x76260","2001-03-08",0,4,"B Cook",9012
13,"Elizabeth","Medina","(866)534-0310x29828","1971-06-15",0,42,"A Cook",9013
14,"James","Ewing","001-760-847-7347x4805","1970-10-01",0,47,"B Cook",9014
15,"Robert","Smith","001-646-808-5052x81783","1991-08-13",0,26,"Helper Cook",9015
16,"Shawn","Bell","638-951-8474x92336","1989-01-09",0,30,"C Cook",9016
17,"Jennifer","Jones","498-838-6082x6811","1985-05-27",0,34,"Helper Cook",9017
18,"Kaitlyn","Mathews","(741)468-8457x1467","1991-01-27",0,6,"Chef",9018
19,"Melinda","Stewart","001-672-415-2891","1991-02-14",0,30,"C Cook",9019
20,"Erica","Frazier","710.912.4453x3151","1976-10-15",0,25,"C Cook",9020
21,"Juan","Moore","602-666-4214","2002-02-12",0,8,"B Cook",9021
22,"Alison","Lawrence","001-878-385-3519x2402","1982-07-05",0,36,"Helper Cook",9022
23,"Mary","Williams","(876)708-1589x883","1991-03-20",0,32,"A Cook",9023
24,"Brenda","Sutton","960-601-1038","2000-12-07",0,19,"Helper Cook",9024
25,"Michael","Flores","+1-564-776-4719x4022","2002-04-26",0,9,"Chef",9025
26,"Daniel","Black","+1-932-702-0042x81742","1998-01-31",0,8,"Helper Cook",9026
27,"Sarah","Bell","951.806.6814","1981-04-01",0,21,"Helper Cook",9027
28,"Andrew","Wright","(806)279-6029x8329","2000-12-19",0,4,"Chef",9028
29,"Jason","Cameron","509-558-7829x3590","1977-08-09",0,24,"B Cook",9029
30,"Kimberly","Howard","001-914-513-8985","1997-06-01",0,16,"Chef",9030
31,"Nicole","Mahoney","+1-302-525-6398x03486","1983-08-12",0,17,"C Cook",9031
32,"George","Rodriguez","485-979-7869","1976-11-14",0,46,"A Cook",9032
33,"Patricia","Murray","001-523-294-9709x27674","1972-08-21",0,15,"C Cook",9033
34,"Thomas","Norris","585.609.7033x546","1997-07-03",0,17,"A Cook",9034
35,"Julie","Landry","599-346-4392","1976-06-20",0,18,"A Cook",9035
36,"Cindy","Morgan","5413691299","1999-05-22",0,21,"B Cook",9036
37,"Thomas","Reynolds","+1-868-314-3601x45211","2001-10-15",0,15,"A Cook",9037
38,"Laura","Esparza","(368)333-9064x864","1988-11-12",0,19,"C Cook",9038
39,"Michele","Thompson","001-224-452-5788x7163","1970-04-16",0,6,"Helper Cook",9039
40,"Kevin","Baker","(490)296-3302x299","1991-07-12",0,26,"B Cook",9040
41,"Diana","Peterson","001-505-363-1395x4138","1970-05-03",0,27,"A Cook",9041
42,"Andrea","Anderson","548.425.8727x075","1984-09-10",0,4,"C Cook",9042
43,"Robert","Knight","+1-443-216-6749","1983-03-23",0,22,"A Cook",9043
44,"Mary","Weaver","001-922-628-5546x8022","1971-04-23",0,31,"Helper Cook",9044
45,"Vanessa","Bates","(342)433-9238","1988-12-12",0,17,"Helper Cook",9045
46,"Christopher","Chang","+1-698-301-6760x26558","1985-07-08",0,9,"C Cook",9046
47,"Debra","White","509.373.8491","1990-10-30",0,31,"C Cook",9047
48,"Gavin","Newton","303-384-9865x2590","1972-04-30",0,22,"Chef",9048
49,"Kristina","Villarreal","657-259-7739x4063","1983-03-13",0,29,"Chef",9049
50,"Regina","Berry","001-920-847-5115x6737","1998-10-13",0,16,"Chef",9050
51,"Rodney","Garcia","476-292-9392x325","1985-12-10",0,32,"Helper Cook",9051
52,"Gregory","Mclaughlin","4464510553","1971-05-24",0,38,"Helper Cook",9052
53,"Anthony","Smith","(307)222-7357x096","1992-07-22",0,8,"Chef",9053
54,"Robert","Murray","479-767-0543x8336","1993-11-06",0,11,"Helper Cook",9054
